SKU,MatchCount,MatchIndex,ProductTitle,Price,CompareAtPrice,InStock,StockQuantity,LowStockWarning,ProductURL,Source,Unverified,Status,Error
BHU5367A,1,1,"Brass Lakshmi Narayana Idol Handcrafted Traditional Chola Art Murti for Pooja, Home Decor & Gifting, Gold, 4 Inch, 1 Piece",2019,2399,true,2,YES,https://bhunes.com/products/brass-lakshmi-narayana-idol-handcrafted-traditional-chola-art-murti-for-pooja-home-decor-gifting-gold-4-inch-1-piece,html,,FOUND,
BHU5363A,1,1,"Brass Vishnu Idol Handcrafted Narayana Govinda Murti Traditional Chola Sculpture for Pooja Home Decor Gifting, Gold, 5 Inch, 1 Piece",,,false,,,https://bhunes.com/products/brass-vishnu-idol-handcrafted-narayana-govinda-murti-traditional-chola-sculpture-for-pooja-home-decor-gifting-gold-5-inch-1-piece,html,,FOUND,
BHU5402A,1,1,"Brass Dancing Parvathi Idol Murti Nartana Parvati Devi Statue, Handcrafted Traditional Chola Pooja Decor Gift, Gold, 15.5 Inch, 1 Piece",10919,12999,true,1,YES,https://bhunes.com/products/brass-dancing-parvathi-idol-murti-nartana-parvati-devi-statue-handcrafted-traditional-chola-pooja-decor-gift-gold-15-5-inch-1-piece,html,,FOUND,
BHU5393A,1,1,"Brass Ganapati Idol Handcrafted Traditional Chola Style Vinayaka Murti for Pooja Home Decor & Gifting, Gold, 4 Inch, 1 Piece",2019,2399,true,4,YES,https://bhunes.com/products/brass-ganapati-idol-handcrafted-traditional-chola-style-vinayaka-murti-for-pooja-home-decor-gifting-gold-4-inch-1-piece,html,,FOUND,
BHU5390A,1,1,"Brass Ganapati Idol Handcrafted Traditional Chola Style Vinayaka Murti for Pooja Home Decor & Gifting, Gold, 3 Inch, 1 Piece",1759,2099,true,4,YES,https://bhunes.com/products/brass-ganapati-idol-handcrafted-traditional-chola-style-vinayaka-murti-for-pooja-home-decor-gifting-gold-3-inch-1-piece,html,,FOUND,
BHU5389A,1,1,"Brass Ganapati Vinayaka Idol Handcrafted Traditional Chola Style Murti for Pooja Home Decor & Gifting, Gold, 4.5 Inch, 1 Piece",1599,1899,true,4,YES,https://bhunes.com/products/brass-ganapati-vinayaka-idol-handcrafted-traditional-chola-style-murti-for-pooja-home-decor-gifting-gold-4-5-inch-1-piece,html,,FOUND,
BHU5387A,1,1,"Brass Ganapati Idol Handcrafted Traditional Vinayaka Murti for Pooja, Home Decor, Vastu & Spiritual Gifting, Gold, 3.5 Inch, 1 Piece",2099,2499,true,4,YES,https://bhunes.com/products/brass-ganapati-idol-handcrafted-traditional-vinayaka-murti-for-pooja-home-decor-vastu-spiritual-gifting-gold-3-5-inch-1-piece,html,,FOUND,
BHU5117A,1,1,"Brass Tulsi Maadam Tulasi Vrindavan Handcrafted Traditional Pooja Decor Gift Shrine for Home Temple, Gold, 5.5 Inch, 1 Piece",3859,4599,true,3,YES,https://bhunes.com/products/brass-tulsi-maadam-tulasi-vrindavan-handcrafted-traditional-pooja-decor-gift-shrine-for-home-temple-gold-5-5-inch-1-piece,html,,FOUND,
BHU5134A,1,1,"Brass Handcrafted Multipurpose Box for Home Decor & Gifting Traditional Peetal Storage Case, Gold, 10 Inch, 1 Piece",5119,6099,true,4,YES,https://bhunes.com/products/brass-handcrafted-multipurpose-box-for-home-decor-gifting-traditional-peetal-storage-case-gold-10-inch-1-piece,html,,FOUND,
BHU5135A,1,1,"Brass Multipurpose Box Handcrafted Traditional Peetal Storage Peti for Pooja, Home Decor & Gifting, Gold, 10 Inch, 1 Piece",5119,6099,true,3,YES,https://bhunes.com/products/brass-multipurpose-box-handcrafted-traditional-peetal-storage-peti-for-pooja-home-decor-gifting-gold-10-inch-1-piece,html,,FOUND,
BHU5136A,1,1,"Brass Handcrafted Traditional  Box Peetal Peti Decorative Storage Case for Home Decor & Gifting, Gold, 10 Inch, 1 Piece",4869,5799,true,2,YES,https://bhunes.com/products/brass-handcrafted-traditional-box-peetal-peti-decorative-storage-case-for-pooja-home-decor-gifting-gold-10-inch-1-piece,html,,FOUND,
BHU5137A,1,1,"Brass Handcrafted Traditional  Multipurpose Box Peetal Peti Decorative Storage Gift Home Decor Organizer, Gold, 10 Inch, 1 Piece",5209,6199,true,2,YES,https://bhunes.com/products/brass-handcrafted-traditional-multipurpose-box-peetal-peti-decorative-storage-gift-home-decor-organizer-gold-10-inch-1-piece,html,,FOUND,
BHU5097A,1,1,"Brass Lakshmi Narayana Idol Handcrafted Traditional Chola Murti for Pooja Home Decor & Spiritual Gifting, Gold, 4.5 Inch, 1 Piece",4369,5199,true,4,YES,https://bhunes.com/products/brass-lakshmi-narayana-idol-handcrafted-traditional-chola-murti-for-pooja-home-decor-spiritual-gifting-gold-4-5-inch-1-piece,html,,FOUND,
BHU5096A,1,1,"Brass Ganesha Idol Handcrafted Traditional Ganpati Vinayaka Murti for Pooja Home Decor & Gifting, Gold, 4 Inch, 1 Piece",110879,131999,true,5,YES,https://bhunes.com/products/brass-ganesha-idol-handcrafted-traditional-ganpati-vinayaka-murti-for-pooja-home-decor-gifting-gold-4-inch-1-piece,html,,FOUND,
BHU4959A,1,1,"Brass Cup with Lid Hot Case, Peetal Pittal Covered Tea Coffee Cup, Brass Tumbler with Cover for Hot Beverages, Gold, 2.5 Inch, 1 Piece",249,299,true,,,https://bhunes.com/products/brass-cup-with-lid-hot-case-peetal-pittal-covered-tea-coffee-cup-brass-tumbler-with-cover-for-hot-beverages-gold-2-5-inch-1-piece,html,YES,FOUND,
